iter	Passed	Remaining
814	20296	4607
815	20323	4582
816	20348	4557
817	20372	4532
818	20397	4507
819	20422	4483
820	20440	4456
821	20452	4428
822	20474	4403
823	20494	4377
824	20518	4352
825	20545	4327
826	20567	4302
827	20593	4277
828	20619	4253
829	20646	4228
830	20673	4204
831	20698	4179
832	20723	4154
833	20747	4129
834	20768	4103
835	20792	4078
836	20818	4054
837	20842	4029
838	20869	4004
839	20889	3978
840	20916	3954
841	20937	3928
842	20963	3904
843	20988	3879
844	21008	3853
845	21032	3828
846	21038	3800
847	21061	3775
848	21089	3750
849	21110	3725
850	21128	3699
851	21153	3674
852	21179	3649
853	21202	3624
854	21210	3597
855	21234	3572
856	21258	3547
857	21280	3521
858	21304	3497
859	21322	3471
860	21347	3446
861	21370	3421
862	21395	3396
863	21419	3371
864	21443	3346
865	21465	3321
866	21492	3297
867	21517	3272
868	21540	3247
869	21558	3221
870	21583	3196
871	21608	3171
872	21630	3146
873	21648	3121
874	21674	3096
875	21699	3071
876	21723	3046
877	21747	3021
878	21773	2997
879	21801	2972
880	21827	2948
881	21853	2923
882	21879	2899
883	21904	2874
884	21928	2849
885	21946	2823
886	21971	2799
887	21992	2773
888	22011	2748
889	22029	2722
890	22055	2698
891	22079	2673
892	22102	2648
893	22127	2623
894	22152	2598
895	22178	2574
896	22200	2549
897	22223	2524
898	22252	2500
899	22275	2475
900	22300	2450
901	22327	2425
902	22345	2400
903	22364	2375
904	22390	2350
905	22413	2325
906	22433	2300
907	22456	2275
908	22478	2250
909	22501	2225
910	22523	2200
911	22547	2175
912	22571	2150
913	22591	2125
914	22617	2101
915	22642	2076
916	22667	2051
917	22691	2026
918	22714	2002
919	22741	1977
920	22766	1952
921	22792	1928
922	22813	1903
923	22840	1878
924	22867	1854
925	22892	1829
926	22914	1804
927	22939	1779
928	22969	1755
929	22992	1730
930	23018	1705
931	23043	1681
932	23068	1656
933	23092	1631
934	23117	1607
935	23143	1582
936	23170	1557
937	23193	1533
938	23218	1508
939	23242	1483
940	23269	1458
941	23295	1434
942	23322	1409
943	23347	1385
944	23371	1360
945	23397	1335
946	23420	1310
947	23442	1285
948	23466	1261
949	23489	1236
950	23513	1211
951	23538	1186
952	23562	1162
953	23587	1137
954	23611	1112
955	23635	1087
956	23656	1062
957	23684	1038
958	23712	1013
959	23737	989
960	23762	964
961	23785	939
962	23805	914
963	23833	890
964	23854	865
965	23880	840
966	23906	815
967	23932	791
968	23955	766
969	23973	741
970	23994	716
971	24019	691
972	24042	667
973	24067	642
974	24089	617
975	24108	592
976	24130	568
977	24155	543
978	24181	518
979	24208	494
980	24232	469
981	24256	444
982	24281	419
983	24303	395
984	24325	370
985	24353	345
986	24377	321
987	24402	296
988	24430	271
989	24454	247
990	24480	222
991	24503	197
992	24526	172
993	24547	148
994	24572	123
995	24597	98
996	24623	74
997	24648	49
998	24672	24
999	24679	0
